semillas: {'video_cif': 105096, 'audio48': 192078, 'subtitulo': 120, 'jpeg_exif': 87954}
universo: 73 tokens  Counter({'nunca_probado': 54, 'probado_como_destino_muerto': 14, 'intentado_y_fallo': 5})
  3g2          intentado_y_fallo            no (EINVAL)
  3gp          intentado_y_fallo            no (EINVAL)
  ac4          probado_como_destino_muerto  no (EINVAL, ENCODER_NOT_FOUND)
  aea          nunca_probado                no (EINVAL, ENCODER_NOT_FOUND)
  alaw         nunca_probado                ESCRITO 48000 B por muxer<-video_cif
  alp          nunca_probado                no (EINVAL)
  amr          intentado_y_fallo            no (EINVAL)
  argo_asf     nunca_probado                ESCRITO 25544 B por muxer<-video_cif
  avs3         probado_como_destino_muerto  no (EINVAL, ENCODER_NOT_FOUND)
  bit          probado_como_destino_muerto  no (EINVAL, ENCODER_NOT_FOUND)
  cavsvideo    nunca_probado                no (EINVAL, ENCODER_NOT_FOUND)
  codec2       nunca_probado                no (EINVAL, ENCODER_NOT_FOUND)
  codec2raw    nunca_probado                no (EINVAL, ENCODER_NOT_FOUND)
  dash         nunca_probado                ESCRITO 1881 B por muxer<-video_cif
  daud         nunca_probado                no (EINVAL)
  dirac        nunca_probado                ESCRITO 3131607 B por muxer<-video_cif
  dnxhd        probado_como_destino_muerto  no (EINVAL)
  dts          probado_como_destino_muerto  no (EINVAL, EXPERIMENTAL)
  dv           probado_como_destino_muerto  no (EINVAL, INVALIDDATA)
  evc          probado_como_destino_muerto  no (EINVAL, ENCODER_NOT_FOUND)
  f32be        nunca_probado                ESCRITO 192000 B por muxer<-video_cif
  f32le        nunca_probado                ESCRITO 192000 B por muxer<-video_cif
  f64be        nunca_probado                ESCRITO 384000 B por muxer<-video_cif
  f64le        nunca_probado                ESCRITO 384000 B por muxer<-video_cif
  ffmetadata   nunca_probado                ESCRITO 104 B por muxer<-video_cif
  film_cpk     nunca_probado                ESCRITO 219873 B por muxer<-video_cif
  filmstrip    nunca_probado                no (EINVAL, INVALIDDATA)
  g723_1       nunca_probado                no (EINVAL)
  g726         nunca_probado                no (EINVAL)
  g726le       nunca_probado                no (EINVAL)
  gsm          probado_como_destino_muerto  no (EINVAL, ENCODER_NOT_FOUND)
  gxf          probado_como_destino_muerto  no (EINVAL)
  h264         nunca_probado                ESCRITO 7674 B por muxer<-video_cif
  hls          nunca_probado                ESCRITO 112 B por muxer<-video_cif
  ilbc         nunca_probado                no (EINVAL, ENCODER_NOT_FOUND)
  image2       nunca_probado                ESCRITO 60382 B por muxer<-jpeg_exif
  jacosub      nunca_probado                no (EINVAL)
  kvag         nunca_probado                ESCRITO 24014 B por muxer<-video_cif
  mcc          nunca_probado                no (EINVAL)
  microdvd     nunca_probado                no (EINVAL)
  mlp          probado_como_destino_muerto  no (EINVAL, EXPERIMENTAL)
  mmf          intentado_y_fallo            no (EINVAL)
  mpjpeg       nunca_probado                ESCRITO 163537 B por muxer<-video_cif
  mulaw        nunca_probado                ESCRITO 48000 B por muxer<-video_cif
  oma          probado_como_destino_muerto  no (EINVAL, ENCODER_NOT_FOUND)
  rawvideo     nunca_probado                ESCRITO 3801600 B por muxer<-video_cif
  roq          intentado_y_fallo            no (EINVAL)
  rtp          nunca_probado                ESCRITO 96172 B por muxer<-audio48
  rtsp         nunca_probado                no (EINVAL, otro_rc_-5)
  s16be        nunca_probado                ESCRITO 96000 B por muxer<-video_cif
  s16le        nunca_probado                ESCRITO 96000 B por muxer<-video_cif
  s24be        nunca_probado                ESCRITO 144000 B por muxer<-video_cif
  s24le        nunca_probado                ESCRITO 144000 B por muxer<-video_cif
  s32be        nunca_probado                ESCRITO 192000 B por muxer<-video_cif
  s32le        nunca_probado                ESCRITO 192000 B por muxer<-video_cif
  s8           nunca_probado                ESCRITO 48000 B por muxer<-video_cif
  sap          nunca_probado                no (EINVAL, otro_rc_-5)
  scc          probado_como_destino_muerto  no (EINVAL)
  smjpeg       nunca_probado                ESCRITO 259025 B por muxer<-video_cif
  sup          probado_como_destino_muerto  no (EINVAL)
  truehd       nunca_probado                no (EINVAL, EXPERIMENTAL)
  u16be        nunca_probado                ESCRITO 96000 B por muxer<-video_cif
  u16le        nunca_probado                ESCRITO 96000 B por muxer<-video_cif
  u24be        nunca_probado                ESCRITO 144000 B por muxer<-video_cif
  u24le        nunca_probado                ESCRITO 144000 B por muxer<-video_cif
  u32be        nunca_probado                ESCRITO 192000 B por muxer<-video_cif
  u32le        nunca_probado                ESCRITO 192000 B por muxer<-video_cif
  u8           nunca_probado                ESCRITO 48000 B por muxer<-video_cif
  vc1          probado_como_destino_muerto  no (EINVAL, ENCODER_NOT_FOUND)
  vc1test      nunca_probado                no (EINVAL, ENCODER_NOT_FOUND)
  vidc         nunca_probado                ESCRITO 48000 B por muxer<-video_cif
  webvtt       nunca_probado                ESCRITO 103 B por muxer<-subtitulo
  wsaud        nunca_probado                ESCRITO 24204 B por muxer<-video_cif

ficheros fuera del desechable: 1 ['log-escritura-ff.txt']

ESCRITOS 36 de 73  (30s, 338 celdas)
  nunca_probado                  36 de 54 escritos
  probado_como_destino_muerto     0 de 14 escritos
  intentado_y_fallo               0 de  5 escritos
