recomprobando 56 semiaristas de entrada
  ffmpeg|avs               muerta  , 2 tasks[0m [1;36m[davs2 info]: Manager 278737e00a0: Sequence Resolution: 352x288.[0m 
  ffmpeg|mpc               muerta  ristas\pool\in\m.mpc. Error opening input files: Invalid data found when processing input 
  ffmpeg|mtv               muerta  ristas\pool\in\m.mtv. Error opening input files: Invalid data found when processing input 
  ffmpeg|rgb               muerta  ch\FileX\bench\salidas-aristas\pool\in\m.rgb. Error opening input files: Invalid argument 
  ffmpeg|svg               muerta  \FileX\bench\salidas-aristas\tmp4\y0015.png. Error opening output files: Invalid argument 
  ffmpeg|txt               muerta  e=N/A time=00:00:00.32 bitrate=N/A speed=0.197x elapsed=0:00:01.62     Conversion failed! 
  ffmpeg|yuv               muerta  ch\FileX\bench\salidas-aristas\pool\in\m.yuv. Error opening input files: Invalid argument 
  imagemagick|avi          viva    
  imagemagick|avif         viva    
  imagemagick|avs          muerta  idas-aristas\pool\in\m.avs': No space left on device @ error/cache.c/OpenPixelCache/4023. 
  imagemagick|bayer        muerta  k\research\FileX\bench\salidas-aristas\pool\in\m.bayer' @ error/gray.c/ReadGRAYImage/148. 
  imagemagick|bayera       muerta  \research\FileX\bench\salidas-aristas\pool\in\m.bayera' @ error/gray.c/ReadGRAYImage/148. 
  imagemagick|bgr          muerta  \Work\research\FileX\bench\salidas-aristas\pool\in\m.bgr' @ error/bgr.c/ReadBGRImage/147. 
  imagemagick|bgra         muerta  Work\research\FileX\bench\salidas-aristas\pool\in\m.bgra' @ error/bgr.c/ReadBGRImage/147. 
  imagemagick|bgro         muerta  Work\research\FileX\bench\salidas-aristas\pool\in\m.bgro' @ error/bgr.c/ReadBGRImage/147. 
  imagemagick|cmyk         muerta  rk\research\FileX\bench\salidas-aristas\pool\in\m.cmyk' @ error/cmyk.c/ReadCMYKImage/147. 
  imagemagick|cmyka        muerta  k\research\FileX\bench\salidas-aristas\pool\in\m.cmyka' @ error/cmyk.c/ReadCMYKImage/147. 
  imagemagick|ept          viva    
  imagemagick|ept2         viva    
  imagemagick|ept3         viva    
  imagemagick|fits         viva    
  imagemagick|flv          viva    
  imagemagick|fts          viva    
  imagemagick|ftxt         muerta  rk\research\FileX\bench\salidas-aristas\pool\in\m.ftxt' @ error/ftxt.c/ReadFTXTImage/493. 
  imagemagick|g4           muerta  gick: Computed scanline size is zero. `TIFFScanlineSize64' @ error/tiff.c/TIFFErrors/571. 
  imagemagick|gif          viva    
  imagemagick|gray         muerta  rk\research\FileX\bench\salidas-aristas\pool\in\m.gray' @ error/gray.c/ReadGRAYImage/148. 
  imagemagick|graya        muerta  k\research\FileX\bench\salidas-aristas\pool\in\m.graya' @ error/gray.c/ReadGRAYImage/148. 
  imagemagick|m2v          viva    
  imagemagick|m4v          viva    
  imagemagick|map          muerta  \Work\research\FileX\bench\salidas-aristas\pool\in\m.map' @ error/map.c/ReadMAPImage/142. 
  imagemagick|mkv          viva    
  imagemagick|mono         muerta  rk\research\FileX\bench\salidas-aristas\pool\in\m.mono' @ error/mono.c/ReadMONOImage/133. 
  imagemagick|mov          viva    
  imagemagick|mp4          viva    
  imagemagick|mpeg         viva    
  imagemagick|mpg          viva    
  imagemagick|msvg         muerta  ASHEAIAAAAAAAAABkEFBwAAAAAAAABgEATQ AAAAAAAAAIBBEEADAAAAAAAAAAYR1NlGrwEAAAAAAAAAsAkxAQ0A. 
  imagemagick|pal          muerta  ork\research\FileX\bench\salidas-aristas\pool\in\m.pal' @ error/uyvy.c/ReadUYVYImage/132. 
  imagemagick|pcl          muerta  \Work\research\FileX\bench\salidas-aristas\pool\in\m.pcl' @ error/pcl.c/ReadPCLImage/375. 
  imagemagick|pix          muerta  mages found for operation `-auto-orient' at CLI arg 2 @ error/operation.c/CLIOption/5481. 
  imagemagick|psb          viva    
  imagemagick|psd          viva    
  imagemagick|ptif         viva    
  imagemagick|rgb          muerta  \Work\research\FileX\bench\salidas-aristas\pool\in\m.rgb' @ error/rgb.c/ReadRGBImage/147. 
  imagemagick|rgba         muerta  Work\research\FileX\bench\salidas-aristas\pool\in\m.rgba' @ error/rgb.c/ReadRGBImage/147. 
  imagemagick|rgbo         muerta  Work\research\FileX\bench\salidas-aristas\pool\in\m.rgbo' @ error/rgb.c/ReadRGBImage/147. 
  imagemagick|rgf          muerta  salidas-aristas\pool\in\m.rgf': No such file or directory @ error/rgf.c/ReadRGFImage/188. 
  imagemagick|txt          viva    
  imagemagick|uyvy         muerta  rk\research\FileX\bench\salidas-aristas\pool\in\m.uyvy' @ error/uyvy.c/ReadUYVYImage/132. 
  imagemagick|webm         viva    
  imagemagick|wmv          viva    
  imagemagick|ycbcr        muerta  research\FileX\bench\salidas-aristas\pool\in\m.ycbcr' @ error/ycbcr.c/ReadYCBCRImage/147. 
  imagemagick|ycbcra       muerta  esearch\FileX\bench\salidas-aristas\pool\in\m.ycbcra' @ error/ycbcr.c/ReadYCBCRImage/147. 
  imagemagick|yuv          muerta  \Work\research\FileX\bench\salidas-aristas\pool\in\m.yuv' @ error/yuv.c/ReadYUVImage/146. 

revividas 22 de 56  (246s)
