segunda vuelta sobre 46 semiaristas de salida
  ffmpeg|302                   MUERTA
  ffmpeg|ac4                   MUERTA
  ffmpeg|amv                   MUERTA
  ffmpeg|ass                   VIVA por subtitulo
  ffmpeg|avs3                  MUERTA
  ffmpeg|bit                   MUERTA
  ffmpeg|c2                    MUERTA
  ffmpeg|cavs                  MUERTA
  ffmpeg|chk                   MUERTA
  ffmpeg|cvg                   MUERTA
  ffmpeg|dnxhd                 MUERTA
  ffmpeg|dnxhr                 MUERTA
  ffmpeg|dts                   MUERTA
  ffmpeg|dv                    MUERTA
  ffmpeg|evc                   MUERTA
  ffmpeg|flm                   MUERTA
  ffmpeg|gsm                   MUERTA
  ffmpeg|gxf                   MUERTA
  ffmpeg|h261                  VIVA por video_cif
  ffmpeg|h263                  VIVA por video_cif
  ffmpeg|js                    MUERTA
  ffmpeg|jss                   MUERTA
  ffmpeg|lbc                   MUERTA
  ffmpeg|lrc                   VIVA por subtitulo
  ffmpeg|mlp                   MUERTA
  ffmpeg|oma                   MUERTA
  ffmpeg|rcv                   MUERTA
  ffmpeg|scc                   MUERTA
  ffmpeg|spx                   MUERTA
  ffmpeg|srt                   VIVA por subtitulo
  ffmpeg|ssa                   VIVA por subtitulo
  ffmpeg|sub                   MUERTA
  ffmpeg|sup                   MUERTA
  ffmpeg|thd                   MUERTA
  ffmpeg|ttml                  VIVA por subtitulo
  ffmpeg|tun                   MUERTA
  ffmpeg|vbn                   MUERTA
  ffmpeg|vc1                   MUERTA
  ffmpeg|vtt                   VIVA por subtitulo
  ffmpeg|xface                 MUERTA
  ffmpeg|xml                   MUERTA
  imagemagick|clip             MUERTA
  imagemagick|jpt              MUERTA
  imagemagick|mask             MUERTA
  imagemagick|matte            VIVA por png_alfa
  imagemagick|thumbnail        MUERTA

revividas 9 de 46  (7s)
