d4_limpio            pagina=465.84x645.12pt  img=[1294, 1792]  dpi_decl=[200.00001525878906, 200.00001525878906]  ppp_calc=200.0  ->  ppp200__d4_limpio.png 1294x1792
escaneado_d4a        pagina=465.84x630.72pt  img=[1294, 1752]  dpi_decl=[200.00001525878906, 200.00001525878906]  ppp_calc=200.0  ->  ppp200__escaneado_d4a.png 1294x1752
escaneado_d4b        pagina=465.84x624.24pt  img=[1294, 1734]  dpi_decl=[200.00001525878906, 200.00001525878906]  ppp_calc=200.0  ->  ppp200__escaneado_d4b.png 1294x1734
escaneado_d4c        pagina=465.84x624.24pt  img=[1294, 1734]  dpi_decl=[200.00001525878906, 200.00001525878906]  ppp_calc=200.0  ->  ppp200__escaneado_d4c.png 1294x1734
escaneado_d4d        pagina=465.84x617.76pt  img=[1294, 1716]  dpi_decl=[200.00001525878906, 200.0]  ppp_calc=200.0  ->  ppp200__escaneado_d4d.png 1294x1716
escaneado_d4e        pagina=465.84x617.76pt  img=[1294, 1716]  dpi_decl=[200.00001525878906, 200.0]  ppp_calc=200.0  ->  ppp200__escaneado_d4e.png 1294x1716
escaneado_d4f        pagina=465.6x624.0pt  img=[1552, 2080]  dpi_decl=[240.0, 240.0]  ppp_calc=240.0  ->  ppp240__escaneado_d4f.png 1552x2080
abl_d4d_blur12       pagina=465.84x617.76pt  img=[1294, 1716]  dpi_decl=[200.00001525878906, 200.0]  ppp_calc=200.0  ->  ppp200__abl_d4d_blur12.png 1294x1716
abl_d4d_jq45         pagina=465.84x617.76pt  img=[1294, 1716]  dpi_decl=[200.00001525878906, 200.0]  ppp_calc=200.0  ->  ppp200__abl_d4d_jq45.png 1294x1716
abl_d4d_niv20        pagina=465.84x617.76pt  img=[1294, 1716]  dpi_decl=[200.00001525878906, 200.0]  ppp_calc=200.0  ->  ppp200__abl_d4d_niv20.png 1294x1716
abl_d4d_rui35        pagina=465.84x617.76pt  img=[1294, 1716]  dpi_decl=[200.00001525878906, 200.0]  ppp_calc=200.0  ->  ppp200__abl_d4d_rui35.png 1294x1716
abl_d4d_ang0         pagina=465.84x645.12pt  img=[1294, 1792]  dpi_decl=[200.00001525878906, 200.00001525878906]  ppp_calc=200.0  ->  ppp200__abl_d4d_ang0.png 1294x1792
