
=== distintos: corr(L,R)=+0.0051
  buena        opus_6k                    desf=   6  ref=[+0.8445 +0.1341]  grafo=[0.6102, 0.1258]
  mala         opus_6k                    desf=   6  ref=[+0.8588 +0.0029]  grafo=[0.6393, 0.003]
  buena        opus_8k                    desf=   6  ref=[+0.9177 +0.1552]  grafo=[0.6869, 0.1464]
  mala         opus_8k                    desf=   6  ref=[+0.9339 +0.0059]  grafo=[0.6797, 0.0053]
  buena        opus_16k                   desf=   0  ref=[+0.9676 +0.1706]  grafo=[0.9676, 0.1706]
  mala         opus_16k                   desf=   0  ref=[+0.9837 +0.0048]  grafo=[0.9837, 0.0048]
  buena        opus_32k                   desf=  -1  ref=[+0.9611 +0.9922]  grafo=[0.9452, 0.9908]
  mala         opus_32k                   desf=   0  ref=[+0.9745 -0.0034]  grafo=[0.9745, -0.0034]
  buena        opus_96k                   desf=   0  ref=[+0.9976 +0.9998]  grafo=[0.9976, 0.9998]
  mala         opus_96k                   desf=   0  ref=[+0.9975 +0.0041]  grafo=[0.9975, 0.0]
  buena        mp3_32k                    desf=   0  ref=[+0.9856 +0.9998]  grafo=[0.9856, 0.9998]
  mala         mp3_32k                    desf=   0  ref=[+0.9917 +0.0000]  grafo=[0.9917, 0.0]
  buena        mp3_64k                    desf=   0  ref=[+0.9965 +1.0000]  grafo=[0.9965, 1.0]
  mala         mp3_64k                    desf=   0  ref=[+0.9993 +0.0000]  grafo=[0.9993, 0.0]
  buena        mp3_192k                   desf=   0  ref=[+1.0000 +1.0000]  grafo=[1.0, 1.0]
  mala         mp3_192k                   desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena        mp3_q9                     desf=   0  ref=[+0.9984 +0.9885]  grafo=[0.9984, 0.9885]
  mala         mp3_q9                     desf=   0  ref=[+0.9984 +0.0000]  grafo=[0.9984, 0.0]
  buena        aac_32k                    desf=   0  ref=[+0.9379 +0.9373]  grafo=[0.9379, 0.9373]
  mala         aac_32k                    desf=   0  ref=[+0.9974 +0.0000]  grafo=[0.9974, 0.0]
  buena        aac_64k                    desf=   0  ref=[+0.9640 +0.9972]  grafo=[0.964, 0.9972]
  mala         aac_64k                    desf=   0  ref=[+0.9990 +0.0000]  grafo=[0.999, 0.0]
  buena        aac_192k                   desf=   0  ref=[+0.9994 +0.9999]  grafo=[0.9994, 0.9999]
  mala         aac_192k                   desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena        flac                       desf=   0  ref=[+1.0000 +1.0000]  grafo=[1.0, 1.0]
  mala         flac                       desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena        wav                        desf=   0  ref=[+1.0000 +1.0000]  grafo=[1.0, 1.0]
  mala         wav                        desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena_brutal brutal_lowpass500          desf=  21  ref=[+0.8183 +0.9835]  grafo=[-0.2001, 0.1786]
  buena_brutal brutal_highpass3k          desf=  18  ref=[+0.2443 -0.6724]  grafo=[-0.4441, -0.9785]
  buena_brutal brutal_8khz                desf=   6  ref=[+0.9629 +0.1724]  grafo=[0.6958, 0.1614]
  buena_brutal brutal_aformat_u8          desf=   0  ref=[+0.9999 +0.9968]  grafo=[0.9996, 0.9861]
  buena_brutal brutal_opus6k_mono_a_estereo desf=   6  ref=[+0.8373 +0.1347]  grafo=[0.6219, 0.1269]

=== reales: corr(L,R)=+0.9997
  buena        opus_6k                    desf=   6  ref=[+0.8501 +0.8506]  grafo=[0.6217, 0.6221]
  mala         opus_6k                    desf=   6  ref=[+0.8588 +0.8587]  grafo=[0.6393, 0.6392]
  buena        opus_8k                    desf=   6  ref=[+0.9313 +0.9315]  grafo=[0.6879, 0.6883]
