SEGUNDA VUELTA sobre 18 semiaristas de entrada

  ffmpeg|avs               bpp=0.284   base=muerta P2=muerta 
  ffmpeg|avs2              bpp=0.284   base=muerta P2=muerta 
  ffmpeg|mpc               SIN SEMILLA (invocacion\pool2\ff.mpc. Error opening output files: Invalid argument )
  ffmpeg|mtv               SIN SEMILLA (invocacion\pool2\ff.mtv. Error opening output files: Invalid argument )
  ffmpeg|rgb               bpp=7.5     base=muerta P2=muerta 
  ffmpeg|svg               SIN SEMILLA (invocacion\pool2\ff.svg. Error opening output files: Invalid argument )
  ffmpeg|yuv               bpp=7.5     base=muerta P2=muerta 
  imagemagick|avs          bpp=4.003   base=OK     P2=VIVA   DEGRADADO
  imagemagick|bgro         bpp=6.0     base=muerta P2=muerta FALLO
  imagemagick|ftxt         bpp=20.165  base=muerta P2=VIVA   DEGRADADO
  imagemagick|g4           bpp=0.114   base=muerta P2=muerta FALLO
  imagemagick|map          bpp=1.048   base=muerta P2=muerta FALLO
  imagemagick|msvg         bpp=0.515   base=muerta P2=muerta FALLO
  imagemagick|pcl          bpp=2.458   base=muerta P2=muerta FALLO
  imagemagick|pix          bpp=0.264   base=OK     P2=VIVA   INTEGRO
  imagemagick|rgb          bpp=6.0     base=muerta P2=muerta FALLO
  imagemagick|rgf          bpp=0.126   base=muerta P2=muerta FALLO
  imagemagick|yuv          bpp=3.0     base=muerta P2=muerta FALLO

revividas en la 2a vuelta: 3 de 18
