REINTENTO DE 37 SEMIARISTAS DE SALIDA MUERTAS

  ffmpeg|302             muxer=daud v=None a=pcm_s24daud s=None base=muerta P2=muerta 
  ffmpeg|ac4             muxer=ac4 v=None a=ac4 s=None          base=muerta P2=muerta 
  ffmpeg|amv             muxer=amv v=amv a=adpcm_ima_amv s=None base=muerta P2=muerta 
  ffmpeg|avs3            muxer=avs3 v=avs3 a=None s=None        base=muerta P2=muerta 
  ffmpeg|bit             muxer=bit v=None a=g729 s=None         base=muerta P2=muerta 
  ffmpeg|c2              muxer=codec2 v=None a=codec2 s=None    base=muerta P2=muerta 
  ffmpeg|cavs            muxer=cavsvideo v=cavs a=None s=None   base=muerta P2=muerta 
  ffmpeg|chk             muxer=webm_chunk v=None a=None s=None  base=muerta P2=muerta 
  ffmpeg|cvg             muxer=argo_cvg v=None a=adpcm_psx s=No base=muerta P2=muerta 
  ffmpeg|dnxhd           muxer=dnxhd v=dnxhd a=None s=None      base=muerta P2=muerta 
  ffmpeg|dnxhr           muxer=dnxhd v=dnxhd a=None s=None      base=muerta P2=muerta 
  ffmpeg|dts             muxer=dts v=None a=dts s=None          base=muerta P2=muerta 
  ffmpeg|dv              muxer=dv v=dvvideo a=pcm_s16le s=None  base=muerta P2=muerta 
  ffmpeg|evc             muxer=evc v=evc a=None s=None          base=muerta P2=muerta 
  ffmpeg|flm             muxer=filmstrip v=rawvideo a=None s=No base=muerta P2=muerta 
  ffmpeg|gsm             muxer=gsm v=None a=gsm s=None          base=muerta P2=muerta 
  ffmpeg|gxf             muxer=gxf v=mpeg2video a=pcm_s16le s=N base=muerta P2=muerta 
  ffmpeg|js              muxer=jacosub v=None a=None s=jacosub  base=muerta P2=muerta 
  ffmpeg|jss             muxer=jacosub v=None a=None s=jacosub  base=muerta P2=muerta 
  ffmpeg|lbc             muxer=ilbc v=None a=ilbc s=None        base=muerta P2=muerta 
  ffmpeg|mlp             muxer=mlp v=None a=mlp s=None          base=muerta P2=muerta 
  ffmpeg|oma             muxer=oma v=None a=atrac3 s=None       base=muerta P2=muerta 
  ffmpeg|rcv             muxer=vc1test v=wmv3 a=None s=None     base=muerta P2=muerta 
  ffmpeg|scc             muxer=scc v=None a=None s=eia_608      base=muerta P2=muerta 
  ffmpeg|spx             muxer=spx v=None a=speex s=None        base=muerta P2=muerta 
  ffmpeg|sub             muxer=microdvd v=None a=None s=microdv base=muerta P2=muerta 
  ffmpeg|sup             muxer=sup v=None a=None s=hdmv_pgs_sub base=muerta P2=muerta 
  ffmpeg|thd             muxer=truehd v=None a=truehd s=None    base=muerta P2=muerta 
  ffmpeg|tun             muxer=alp v=None a=adpcm_ima_alp s=Non base=muerta P2=muerta 
  ffmpeg|vbn             muxer=image2 v=mjpeg a=None s=None     base=muerta P2=VIVA   INTEGRO
  ffmpeg|vc1             muxer=vc1 v=vc1 a=None s=None          base=muerta P2=muerta 
  ffmpeg|xface           muxer=image2 v=mjpeg a=None s=None     base=muerta P2=VIVA   INTEGRO
  ffmpeg|xml             muxer=webm_dash_manifest v=None a=None base=muerta P2=muerta 
  imagemagick|clip                                              base=muerta P2=muerta 
  imagemagick|jpt                                               base=muerta P2=muerta 
  imagemagick|mask                                              base=muerta P2=muerta 
  imagemagick|thumbnail                                         base=muerta P2=muerta 

revividas 2 de 37 (5.4 %)  (41 s)
