ppp75 escaneado_d1                 485x650       +deskew 521x677     
ppp100 escaneado_d1                647x867       +deskew 695x903     
ppp125 escaneado_d1                808x1083      +deskew 866x1126    
ppp150 escaneado_d1                970x1300      +deskew 1039x1351   
ppp175 escaneado_d1                1132x1517     +deskew 1212x1577   
ppp200 escaneado_d1                1293x1733     +deskew 1383x1800   
ppp250 escaneado_d1                1617x2167     +deskew 1731x2251   
ppp300 escaneado_d1                1940x2600     +deskew 2076x2700   
ppp75 escaneado_d2                 485x638       +deskew 542x681     
ppp100 escaneado_d2                647x850       +deskew 721x906     
ppp125 escaneado_d2                809x1063      +deskew 900x1131    
ppp150 escaneado_d2                970x1275      +deskew 1081x1358   
ppp175 escaneado_d2                1132x1488     +deskew 1261x1584   
ppp200 escaneado_d2                1294x1700     +deskew 1441x1809   
ppp250 escaneado_d2                1617x2125     +deskew 1801x2262   
ppp300 escaneado_d2                1941x2550     +deskew 2163x2715   
ppp75 escaneado_d3                 485x638       +deskew 540x680     
ppp100 escaneado_d3                647x850       +deskew 719x904     
ppp125 escaneado_d3                809x1063      +deskew 899x1130    
ppp150 escaneado_d3                970x1275      +deskew 1076x1354   
ppp175 escaneado_d3                1132x1488     +deskew 1259x1582   
ppp200 escaneado_d3                1294x1700     +deskew 1438x1807   
ppp250 escaneado_d3                1617x2125     +deskew 1794x2257   
ppp300 escaneado_d3                1941x2550     +deskew 2157x2710   
ppp75 patologico_escaneado         485x672       +deskew 508x689     
ppp100 patologico_escaneado        647x896       +deskew 675x917     
ppp125 patologico_escaneado        809x1120      +deskew 846x1146    
ppp150 patologico_escaneado        970x1344      +deskew 1014x1375   
ppp175 patologico_escaneado        1132x1568     +deskew 1181x1603   
ppp200 patologico_escaneado        1294x1792     +deskew 1351x1833   
ppp250 patologico_escaneado        1617x2240     +deskew 1688x2292   
ppp300 patologico_escaneado        1941x2688     +deskew 2020x2745   
--- extrayendo imagenes incrustadas con pdfimages (WSL) ---
nat__*                             
total img2: 64
