gs__k1000__escaneado_d4                        ppp= 200 nat=200.0  1294x1716 8 Grayscale    (2.22 Mpx, 1179035 B)
gs__k1000__escaneado_d4c                       ppp= 200 nat=200.0  1294x1734 8 Grayscale    (2.24 Mpx, 1148678 B)
gs__k1000__escaneado_d4e                       ppp= 200 nat=200.0  1294x1716 8 Grayscale    (2.22 Mpx, 1159871 B)
gs__k1000__escaneado_d4f                       ppp= 240 nat=240.0  1552x2080 8 Grayscale    (3.23 Mpx, 1644741 B)
gs__k1000__escaneado_d3                        ppp= 100 nat=100.0  647x850 8 Grayscale      (0.55 Mpx, 367433 B)
gs__k1000__escaneado_d2                        ppp= 100 nat=100.0  647x850 8 Grayscale      (0.55 Mpx, 322014 B)
gs16m_im__k1000__escaneado_d4                  ppp= 200 nat=200.0  1294x1716 8 Grayscale    (2.22 Mpx, 1172493 B)
gs16m_im__k1000__escaneado_d4c                 ppp= 200 nat=200.0  1294x1734 8 Grayscale    (2.24 Mpx, 1141561 B)
gs16m_im__k1000__escaneado_d4e                 ppp= 200 nat=200.0  1294x1716 8 Grayscale    (2.22 Mpx, 1153532 B)
gs16m_im__k1000__escaneado_d4f                 ppp= 240 nat=240.0  1552x2080 8 Grayscale    (3.23 Mpx, 1635748 B)
gs16m_im__k1000__escaneado_d3                  ppp= 100 nat=100.0  647x850 8 Grayscale      (0.55 Mpx, 364085 B)
gs16m_im__k1000__escaneado_d2                  ppp= 100 nat=100.0  647x850 8 Grayscale      (0.55 Mpx, 318948 B)
gs16m_im601__k1000__escaneado_d4               ppp= 200 nat=200.0  1294x1716 8 Grayscale    (2.22 Mpx, 1172493 B)
gs16m_im601__k1000__escaneado_d4c              ppp= 200 nat=200.0  1294x1734 8 Grayscale    (2.24 Mpx, 1141561 B)
gs16m_im601__k1000__escaneado_d4e              ppp= 200 nat=200.0  1294x1716 8 Grayscale    (2.22 Mpx, 1153532 B)
gs16m_im601__k1000__escaneado_d4f              ppp= 240 nat=240.0  1552x2080 8 Grayscale    (3.23 Mpx, 1635748 B)
gs16m_im601__k1000__escaneado_d3               ppp= 100 nat=100.0  647x850 8 Grayscale      (0.55 Mpx, 364085 B)
gs16m_im601__k1000__escaneado_d2               ppp= 100 nat=100.0  647x850 8 Grayscale      (0.55 Mpx, 318948 B)
gs16m_im709__k1000__escaneado_d4               ppp= 200 nat=200.0  1294x1716 8 Grayscale    (2.22 Mpx, 1172493 B)
gs16m_im709__k1000__escaneado_d4c              ppp= 200 nat=200.0  1294x1734 8 Grayscale    (2.24 Mpx, 1141561 B)
gs16m_im709__k1000__escaneado_d4e              ppp= 200 nat=200.0  1294x1716 8 Grayscale    (2.22 Mpx, 1153532 B)
gs16m_im709__k1000__escaneado_d4f              ppp= 240 nat=240.0  1552x2080 8 Grayscale    (3.23 Mpx, 1635748 B)
gs16m_im709__k1000__escaneado_d3               ppp= 100 nat=100.0  647x850 8 Grayscale      (0.55 Mpx, 364085 B)
gs16m_im709__k1000__escaneado_d2               ppp= 100 nat=100.0  647x850 8 Grayscale      (0.55 Mpx, 318948 B)
im_sincs__k1000__escaneado_d4                  ppp= 200 nat=200.0  1294x1716 8 Grayscale    (2.22 Mpx, 1172574 B)
im_sincs__k1000__escaneado_d4c                 ppp= 200 nat=200.0  1294x1734 8 Grayscale    (2.24 Mpx, 1141642 B)
im_sincs__k1000__escaneado_d4e                 ppp= 200 nat=200.0  1294x1716 8 Grayscale    (2.22 Mpx, 1153613 B)
im_sincs__k1000__escaneado_d4f                 ppp= 240 nat=240.0  1552x2080 8 Grayscale    (3.23 Mpx, 1635825 B)
im_sincs__k1000__escaneado_d3                  ppp= 100 nat=100.0  647x850 8 Grayscale      (0.55 Mpx, 364163 B)
im_sincs__k1000__escaneado_d2                  ppp= 100 nat=100.0  647x850 8 Grayscale      (0.55 Mpx, 319026 B)
gs_aa1__k1000__escaneado_d4                    ppp= 200 nat=200.0  1294x1716 8 Grayscale    (2.22 Mpx, 1179035 B)
gs_aa1__k1000__escaneado_d4c                   ppp= 200 nat=200.0  1294x1734 8 Grayscale    (2.24 Mpx, 1148678 B)
gs_aa1__k1000__escaneado_d4e                   ppp= 200 nat=200.0  1294x1716 8 Grayscale    (2.22 Mpx, 1159871 B)
gs_aa1__k1000__escaneado_d4f                   ppp= 240 nat=240.0  1552x2080 8 Grayscale    (3.23 Mpx, 1644741 B)
gs_aa1__k1000__escaneado_d3                    ppp= 100 nat=100.0  647x850 8 Grayscale      (0.55 Mpx, 367433 B)
gs_aa1__k1000__escaneado_d2                    ppp= 100 nat=100.0  647x850 8 Grayscale      (0.55 Mpx, 322014 B)
gs_aa4__k1000__escaneado_d4                    ppp= 200 nat=200.0  1294x1716 8 Grayscale    (2.22 Mpx, 1179035 B)
gs_aa4__k1000__escaneado_d4c                   ppp= 200 nat=200.0  1294x1734 8 Grayscale    (2.24 Mpx, 1148678 B)
gs_aa4__k1000__escaneado_d4e                   ppp= 200 nat=200.0  1294x1716 8 Grayscale    (2.22 Mpx, 1159871 B)
gs_aa4__k1000__escaneado_d4f                   ppp= 240 nat=240.0  1552x2080 8 Grayscale    (3.23 Mpx, 1644741 B)
gs_aa4__k1000__escaneado_d3                    ppp= 100 nat=100.0  647x850 8 Grayscale      (0.55 Mpx, 367433 B)
gs_aa4__k1000__escaneado_d2                    ppp= 100 nat=100.0  647x850 8 Grayscale      (0.55 Mpx, 322014 B)
